,t,x,y,z,e,label
280,2021-02-26 12:33:00,550051.43,4432724.21,912.48,8551.15,0
281,2021-02-27 02:35:00,550037.07,4432533.94,900.05,9255.58,0
282,2021-02-27 03:29:00,550045.15,4432541,919.29,9262.15,0
283,2021-02-27 06:01:00,550078.15,4432662.28,950.56,8780.09,0
284,2021-02-27 11:47:00,550053.49,4432510.42,908.76,12969.59,0
285,2021-02-27 14:22:00,550026.96,4432588.15,910.56,5515.06,0
286,2021-02-27 23:23:00,549989,4432582.52,904.87,6319.19,0
287,2021-02-28 10:25:00,550017.3,4432722.74,901.85,6011.65,0
288,2021-02-28 16:56:00,549930.63,4432619.26,910.73,4301.72,0
289,2021-02-28 19:21:00,549972.05,4432566.28,912.95,5657.4,0
290,2021-02-28 20:03:00,550013.34,4432711.01,913,15012.98,0
291,2021-02-28 22:49:00,549912.42,4432605.06,910.2,7996.45,0
292,2021-02-28 23:32:00,549957.37,4432633.84,899.86,7331.45,0
293,2021-03-01 00:28:00,550031.6,4432551.6,916.52,4801.39,0
294,2021-03-01 03:02:00,549966.38,4432562.72,913.96,6788.21,0
295,2021-03-01 11:28:00,550020.44,4432596.38,908.99,6388.51,0
296,2021-03-01 13:50:00,550098.92,4432628.52,910.35,5961.77,0
297,2021-03-01 22:54:00,549970.45,4432573.03,913.33,26854.93,1
298,2021-03-02 03:10:00,549971.08,4432576.51,912.66,8445.05,0
299,2021-03-02 04:54:00,550000.79,4432612.76,914.48,4039.14,0
300,2021-03-02 11:42:00,549967.86,4432584.42,900.66,8751.4,0
301,2021-03-02 15:00:00,550030.91,4432671.23,916.52,5142.52,0
302,2021-03-02 15:09:00,549985.19,4432562.81,917,14885.81,0
303,2021-03-02 16:39:00,550045.11,4432714.19,904.01,19392.41,1
304,2021-03-03 00:59:00,550010.73,4432663.54,951.79,18390.96,1
305,2021-03-03 02:00:00,550006.57,4432558.41,916.91,14667.94,0
306,2021-03-03 08:22:00,549991.72,4432788.19,914.26,3612.7,0
307,2021-03-03 14:46:00,549969.36,4432572.96,898.67,13082.51,0
308,2021-03-03 18:16:00,549898.03,4432600.36,909.91,6478.79,0
309,2021-03-04 04:07:00,550036.4,4432698.8,907.15,20127.01,1
310,2021-03-04 06:50:00,549978.86,4432562.34,914.78,4825.89,0
311,2021-03-04 08:45:00,549943.5,4432564.29,900.47,9375.03,0
312,2021-03-04 13:28:00,549962.43,4432674.81,913.21,4632.08,0
313,2021-03-04 14:04:00,550074.17,4432736.75,901.96,6123.36,0
314,2021-03-04 17:14:00,550010.34,4432704.18,907.49,9102.77,0
315,2021-03-04 22:52:00,549984.52,4432731.89,907.14,4731.52,0
316,2021-03-05 12:55:00,549916.64,4432721.28,911.46,4330.3,0
317,2021-03-06 15:24:00,550009.56,4432709.47,911.53,6437.16,0
318,2021-03-07 08:18:00,549945.28,4432703.42,924.53,11226.52,0
319,2021-03-07 16:24:00,549946.59,4432649.16,910.79,6534.09,0
320,2021-03-07 23:53:00,549940.46,4432568.67,916.88,8285.58,0
321,2021-03-08 07:46:00,550053.98,4432652.82,914.97,5661.66,0
322,2021-03-08 10:28:00,549924.71,4432568.4,908.95,9918.23,0
323,2021-03-08 14:38:00,549965.07,4432579.49,917.1,6233.94,0
324,2021-03-09 04:17:00,550017.26,4432644.39,912.87,3613.18,0
325,2021-03-09 11:08:00,550026.35,4432702.08,900.93,6936.06,0
326,2021-03-09 11:19:00,549997.62,4432673.83,900.13,9421.35,0
327,2021-03-09 13:55:00,550039.95,4432715.86,904.48,5722.03,0
328,2021-03-10 05:32:00,550069.84,4432709.85,911.77,4486.11,0
329,2021-03-10 09:14:00,550026.89,4432736.73,935.19,11302.33,0
330,2021-03-10 22:49:00,549959.93,4432550.7,906.23,8039.65,0
331,2021-03-11 16:18:00,550103.84,4432780.69,902.71,4253.29,0
332,2021-03-11 16:35:00,550049.49,4432673.17,904.79,4559.21,0
333,2021-03-11 18:55:00,550046.27,4432684.77,906.1,5143.49,0
334,2021-03-11 22:41:00,549976.39,4432610.37,906.22,3177.19,0
335,2021-03-12 17:53:00,549989.19,4432606.07,917.57,6798.52,0
336,2021-03-12 23:46:00,550039.27,4432768.34,907.11,19348.4,1
337,2021-03-13 00:46:00,549996.17,4432688.68,909.71,8032.6,0
338,2021-03-13 03:12:00,550011.3,4432712.77,905.34,11455.5,0
339,2021-03-13 05:47:00,549948.18,4432649.37,913.95,8414.56,0
340,2021-03-13 07:04:00,549958.29,4432541.66,913.03,8241.48,0
341,2021-03-13 07:29:00,550014.77,4432718.14,902.23,11859.51,0
342,2021-03-13 10:20:00,550010.7,4432750.35,918.47,8205.46,0
343,2021-03-13 15:09:00,550140.65,4432642.45,898.93,7404.33,0
344,2021-03-14 01:25:00,549964.78,4432728.96,933.57,6194.68,0
345,2021-03-14 03:03:00,549999.94,4432685.51,922.41,22460.12,1
346,2021-03-14 08:27:00,549999.53,4432727.01,913.76,10424.96,0
347,2021-03-14 19:06:00,549952.42,4432545.68,915.1,7938.33,0
348,2021-03-15 00:45:00,549991.45,4432703.24,921.03,18926.98,1
349,2021-03-15 10:05:00,550099.09,4432754.79,904.01,6107.82,0
350,2021-03-15 10:22:00,549903,4432545.92,916.94,17701.56,1
351,2021-03-15 13:59:00,549943.86,4432529.85,906.82,12376.17,0
352,2021-03-15 16:10:00,550043.46,4432622.26,912.27,4437.9,0
353,2021-03-15 22:44:00,549972.6,4432716.13,910,11865.74,0
354,2021-03-16 02:51:00,549937.24,4432571.36,902.66,7307.35,0
355,2021-03-16 17:48:00,549961.95,4432616.83,919.22,12584.42,0
356,2021-03-16 18:05:00,550008.31,4432757.92,912.71,20866.62,1
357,2021-03-16 23:53:00,550003.27,4432703.39,909.76,4021.31,0
358,2021-03-17 00:43:00,550004.16,4432707.33,915.26,14295.08,0
359,2021-03-17 06:26:00,549977.94,4432712.83,906.35,10045.66,0
360,2021-03-17 07:18:00,550098.4,4432654.93,907.74,5214.33,0
361,2021-03-17 10:54:00,550024.8,4432533.97,914.7,6689.13,0
